place_num,age_10,age_20,age_30,age_40,age_50,age_60,gender_male,gender_female,mbti_is,mbti_in,mbti_es,mbti_en,restaurant_korea,restaurant_west,restaurant_china,restaurant_japan,restaurant_fast,restaurant_bunsik,cafe_cafe,cafe_dessert,cafe_bakery,leisure_gallery,leisure_craft,leisure_popup,leisure_theater,leisure_book,leisure_department,walking_park,walking_market,walking_street
1498675338,0.25,0.841,0.8803,0.7841,0.6188,0.25,0.53,0.47,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37774411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.65,0.05,0.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675859519,0.25,0.7872,0.8867,0.8271,0.7177,0.25,0.53,0.47,0.2,0.3,0.3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38765937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.25,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961707985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.75,0.0625,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537362093,0.25,0.6153,0.8139,0.8863,0.8471,0.8393999999999999,0.52,0.48,0.05,0.8,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1265978200,0.25,0.706,0.8332999999999999,0.8908,0.8573999999999999,0.7931,0.56,0.44,0.3,0.35,0.2,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33167059,0.82,0.9975,0.7558,0.6934,0.5327000000000001,0.25,0.53,0.47,0.15,0.55,0.2,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13160073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.45,0.15,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259183599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37578817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.55,0.05,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308791272,0.4718,0.45909999999999995,0.2503,0.1176,0.1176,0.1176,0.38,0.62,0.2,0.6,0.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975641186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.15,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183511070,0.25,0.7729,0.8664000000000001,0.8937,0.7345999999999999,0.25,0.55,0.45,0.05,0.6,0.2,0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905298738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1469252615,0.25,0.7341,0.8453,0.8765000000000001,0.7275,0.25,0.53,0.47,0.2,0.4,0.15,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34099507,0.9606999999999999,0.987,0.5907,0.5212,0.25,0.25,0.4,0.6,0.1,0.75,0.05,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175027355,0.6620999999999999,0.8906000000000001,0.7469,0.7986,0.698,0.25,0.54,0.46,0.2631578947368421,0.3684210526315789,0.10526315789473684,0.2631578947368421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
